Aufgabe;Deutung;Loesung;Antwort1;Antwort2;Antwort3;Antwort4;Antwort5;Antwort6;Antwort7;Antwort8;Antwort9
Teilnehmer;sali
test04;Ein Cluster hat sich aufgeteilt und existiert nicht mehr.;Ein Cluster hat sich aufgeteilt und existiert nicht mehr.; Ein Cluster hat sich aufgeteilt und existiert nicht mehr.;Projekte haben das Cluster gewechselt. Ihr altes Cluster exisitert noch.;Ein Cluster hat sich aufgeteilt und existiert noch.;Cluster sind verschmolzen.
test05;Cluster sind verschmolzen.;Cluster sind verschmolzen.; Ein Cluster ist mitsamt der Projekte verschwunden.;Cluster sind verschmolzen.;Projekte haben das Cluster gewechselt. Ihr altes Cluster exisitert noch.;Ein Cluster hat sich aufgeteilt.
test06;Projekte haben das Cluster gewechselt.;Projekte haben das Cluster gewechselt.; Projekte haben das Cluster gewechselt.;Ein Cluster hat sich aufgeteilt und existiert nicht mehr.;Ein neues Cluster ist hinzu gekommen.;Cluster sind verschmolzen.
test07;Ein Projekt ist hinzu gekommen und hat ein neues Cluster gebildet.;Ein Cluster hat sich aufgeteilt und ein neues ist entstanden.; Ein Projekt ist zu einem anderem, existierenden Cluster gewechselt.;Ein Cluster hat ein Projekt an ein anderes existierendes abgegeben.;Ein Projekt ist hinzu gekommen und hat ein neues Cluster gebildet.;Ein Cluster hat sich aufgeteilt und ein neues ist entstanden.
test08;Cluster sind verschmolzen.;Cluster haben sich bewegt und verformt.; Projekte haben das Cluster gewechselt.;Cluster haben sich bewegt und verformt.;Cluster sind verschmolzen.;Cluster haben sich aufgeteilt.
test09;Das Verschwinden von Projekten beeinflusste die Hüllenform.;Projekte sind verschwunden und beeinflussten nicht die Hüllenform.; Die Cluster haben sich verschoben, aber die Form blieb unverändert.;Die Hüllenform hat sich bei konstanter Projektzahl verändert.;Das Verschwinden von Projekten beeinflusste die Hüllenform.;Projekte sind verschwunden und beeinflussten nicht die Hüllenform.
test10;Neue Projekte kamen hinzu und veränderten die Hüllenform.;Neue Projekte kamen hinzu. Sie haben die Hüllenform nicht beeinflusst.; Die Cluster haben sich verschoben, aber die Form blieb unverändert.;Die Hüllenform hat sich bei konstanter Projektzahl verändert.;Neue Projekte kamen hinzu. Sie haben die Hüllenform nicht beeinflusst.;Neue Projekte kamen hinzu und veränderten die Hüllenform.
test11;Neue Projekte kamen hinzu und veränderten die Hüllenform.;Neue Projekte kamen hinzu und veränderten die Hüllenform.; Neue Projekte kamen hinzu. Sie haben die Hüllenform nicht beeinflusst.;Neue Projekte kamen hinzu und veränderten die Hüllenform.;Die Cluster haben sich verschoben, aber die Form blieb unverändert.;Die Hüllenform hat sich bei konstanter Projektzahl verändert.
test12;Alte Projekte haben ein neues Cluster erzeugt.;Neue Projekte haben ein neues Cluster erzeugt.; Neue Projekte haben ein neues Cluster erzeugt.;Ein Cluster hat sich aufgeteilt.;Alte Projekte haben ein neues Cluster erzeugt.;Projekte kamen hinzu, aber die Clusterzahl blieb konstant.
test13;Das Verschwinden von Projekten beeinflusste die Hüllenform.;Das Verschwinden von Projekten beeinflusste die Hüllenform.; Die Hüllenform hat sich bei konstanter Projektzahl verändert.;Projekte sind verschwunden und beeinflussten nicht die Hüllenform.;Die Cluster haben sich verschoben, aber die Form blieb unverändert.;Das Verschwinden von Projekten beeinflusste die Hüllenform.
test14;4,3;5
test15;Transition; ;Transition;Überblendung;egal / weiß nicht
test16;1750; ;500;750;1000;1250;1500;1750;2000;2250;2500
