Aufgabe;Deutung;Loesung;Antwort1;Antwort2;Antwort3;Antwort4;Antwort5;Antwort6;Antwort7;Antwort8;Antwort9
Teilnehmer;sudo
test04;Cluster sind verschmolzen.;Ein Cluster hat sich aufgeteilt und existiert nicht mehr.; Cluster sind verschmolzen.;Ein Cluster hat sich aufgeteilt und existiert nicht mehr.;Ein Cluster hat sich aufgeteilt und existiert noch.;Projekte haben das Cluster gewechselt. Ihr altes Cluster exisitert noch.
test05;Cluster sind verschmolzen.;Cluster sind verschmolzen.; Ein Cluster hat sich aufgeteilt.;Ein Cluster ist mitsamt der Projekte verschwunden.;Projekte haben das Cluster gewechselt. Ihr altes Cluster exisitert noch.;Cluster sind verschmolzen.
test06;Projekte haben das Cluster gewechselt.;Projekte haben das Cluster gewechselt.; Ein neues Cluster ist hinzu gekommen.;Projekte haben das Cluster gewechselt.;Ein Cluster hat sich aufgeteilt und existiert nicht mehr.;Cluster sind verschmolzen.
test07;Ein Cluster hat sich aufgeteilt und ein neues ist entstanden.;Ein Cluster hat sich aufgeteilt und ein neues ist entstanden.; Ein Projekt ist hinzu gekommen und hat ein neues Cluster gebildet.;Ein Cluster hat ein Projekt an ein anderes existierendes abgegeben.;Ein Projekt ist zu einem anderem, existierenden Cluster gewechselt.;Ein Cluster hat sich aufgeteilt und ein neues ist entstanden.
test08;Cluster haben sich bewegt und verformt.;Cluster haben sich bewegt und verformt.; Cluster sind verschmolzen.;Cluster haben sich aufgeteilt.;Cluster haben sich bewegt und verformt.;Projekte haben das Cluster gewechselt.
test09;Projekte sind verschwunden und beeinflussten nicht die Hüllenform.;Projekte sind verschwunden und beeinflussten nicht die Hüllenform.; Projekte sind verschwunden und beeinflussten nicht die Hüllenform.;Das Verschwinden von Projekten beeinflusste die Hüllenform.;Die Cluster haben sich verschoben, aber die Form blieb unverändert.;Die Hüllenform hat sich bei konstanter Projektzahl verändert.
test10;Neue Projekte kamen hinzu. Sie haben die Hüllenform nicht beeinflusst.;Neue Projekte kamen hinzu. Sie haben die Hüllenform nicht beeinflusst.; Neue Projekte kamen hinzu. Sie haben die Hüllenform nicht beeinflusst.;Die Hüllenform hat sich bei konstanter Projektzahl verändert.;Neue Projekte kamen hinzu und veränderten die Hüllenform.;Die Cluster haben sich verschoben, aber die Form blieb unverändert.
test11;Neue Projekte kamen hinzu und veränderten die Hüllenform.;Neue Projekte kamen hinzu und veränderten die Hüllenform.; Die Cluster haben sich verschoben, aber die Form blieb unverändert.;Neue Projekte kamen hinzu. Sie haben die Hüllenform nicht beeinflusst.;Neue Projekte kamen hinzu und veränderten die Hüllenform.;Die Hüllenform hat sich bei konstanter Projektzahl verändert.
test12;Alte Projekte haben ein neues Cluster erzeugt.;Neue Projekte haben ein neues Cluster erzeugt.; Projekte kamen hinzu, aber die Clusterzahl blieb konstant.;Ein Cluster hat sich aufgeteilt.;Alte Projekte haben ein neues Cluster erzeugt.;Neue Projekte haben ein neues Cluster erzeugt.
test13;Das Verschwinden von Projekten beeinflusste die Hüllenform.;Das Verschwinden von Projekten beeinflusste die Hüllenform.; Das Verschwinden von Projekten beeinflusste die Hüllenform.;Die Hüllenform hat sich bei konstanter Projektzahl verändert.;Projekte sind verschwunden und beeinflussten nicht die Hüllenform.;Die Cluster haben sich verschoben, aber die Form blieb unverändert.
test14;4,4;5
test15;egal / weiß nicht; ;Transition;Überblendung;egal / weiß nicht
test16;1750; ;500;750;1000;1250;1500;1750;2000;2250;2500
